"Index","obs","Ncasos","Ncasos.low","Ncasos.up","NI","NI.low","NI.up","data"
2005-12-04,0,0.412438838138437,0.0995809959425207,1.06868868759714,39.1645,8,107.024886794094,2005-12-04
2005-12-11,2,0.499449096589752,0.129366592551254,1.23620271510021,47.3835,10,127,2005-12-11
2005-12-18,0,0.433829557856541,0.101863411421949,1.12903770320406,41.04975,9,115,2005-12-18
2005-12-25,0,0.417730278223036,0.0978987356615168,1.09098035178328,39.47575,8,106.024885732695,2005-12-25
2006-01-01,0,0.428744844085886,0.105439865477677,1.05070106151243,40.49025,8,106,2006-01-01
2006-01-08,0,0.493422721638283,0.128979544144992,1.21165912200166,46.5675,11,124,2006-01-08
2006-01-15,0,0.620782500144175,0.184342716295098,1.46556838864073,58.69875,15,153,2006-01-15
2006-01-22,1,0.87576145424706,0.281843478659054,1.90504750731885,82.58475,24,195.049751675262,2006-01-22
2006-01-29,0,1.21546065495484,0.433949153253802,2.56849577255043,114.683,35,268.024954635654,2006-01-29
2006-02-05,8,2.18132298897366,0.855208678999743,4.41424157185591,206.07625,70,455.04989316618,2006-02-05
2006-02-12,0,1.14825768951875,0.393231829142347,2.51496732032458,109.01175,32,267,2006-02-12
2006-02-19,0,0.772946532481234,0.233549726573928,1.78292343844072,73.5375,19,187,2006-02-19
2006-02-26,0,0.606070196623754,0.169391909962485,1.40103503147184,57.71025,14,149,2006-02-26
2006-03-05,0,0.543753374444661,0.149776158333247,1.28423526963342,51.6505,12.9740121304211,134.024909492881,2006-03-05
2006-03-12,0,0.543531720237689,0.149317247187834,1.29273561137572,51.58425,12,137,2006-03-12
2006-03-19,0,0.611626515155365,0.178263234403948,1.43091233672657,57.95125,15,147,2006-03-19
2006-03-26,1,0.780364492294587,0.249201929911776,1.75510286017834,73.79725,21,189.024935739607,2006-03-26
2006-04-02,0,0.949760285211928,0.301655183298758,2.11273931016823,89.84725,25.9745190307642,222.024945263608,2006-04-02
2006-04-09,6,1.39734683517285,0.488382323479251,3.00267306396076,132.11675,41,320,2006-04-09
2006-04-16,0,0.770068670464823,0.232443362788915,1.7767411718705,72.83725,19,188,2006-04-16
2006-04-23,0,0.495177403952369,0.118634302760782,1.2200106796563,47.12275,11,130,2006-04-23
