"Index","obs","Ncasos","Ncasos.low","Ncasos.up","data"
2005-09-01,4,2.96319219453473,1.38644447030145,5.33161179435633,2005-09-01
2005-10-01,0,1.92290100969322,0.694388623256862,3.83958364083266,2005-10-01
2005-11-01,2,2.17897390518961,0.874771775611235,4.17284201124683,2005-11-01
2005-12-01,1,2.59401460256516,1.16828501366636,4.78126221031677,2005-12-01
2006-01-01,8,4.58519319345829,2.45414603251344,7.94532433130949,2006-01-01
2006-02-01,1,2.97362339472503,1.33759493503293,5.37628890407511,2006-02-01
2006-03-01,6,3.40425685579424,1.67411521975301,6.10452672687985,2006-03-01
2006-04-01,0,1.53061551499589,0.427445408587323,3.32884828520858,2006-04-01
2006-05-01,0,1.12422378134862,0.30686516286656,2.57720095322337,2006-05-01
2006-06-01,1,1.22651340914328,0.386067072576424,2.61594334949435,2006-06-01
2006-07-01,3,1.4574318438134,0.579433217104158,2.97258119909263,2006-07-01
2006-08-01,0,0.856639544043052,0.178627094071713,2.06294277079143,2006-08-01
2006-09-01,0,0.7003934877377,0.153432362601365,1.70398731811451,2006-09-01
2006-10-01,0,0.777140574952102,0.170448184163999,1.85084168715255,2006-10-01
2006-11-01,2,1.10042073031286,0.364477167253927,2.36044000237406,2006-11-01
2006-12-01,2,1.07324914583902,0.36437532776439,2.3773802788776,2006-12-01
2007-01-01,0,0.656736391957595,0.146155337873807,1.69641282549135,2007-01-01
2007-02-01,0,0.50267835225395,0.126423736710657,1.37962757625043,2007-02-01
2007-03-01,0,0.469129541262076,0.124818546564544,1.29821115030545,2007-03-01
2007-04-01,1,0.517149983552689,0.130934003870717,1.29847092000381,2007-04-01
2007-05-01,0,0.41531359964982,0.120601488871131,1.10388134459263,2007-05-01
2007-06-01,0,0.380836516197466,0.115183871124405,1.06320489309708,2007-06-01
2007-07-01,0,0.353628753773617,0.113941208580908,0.973178350138548,2007-07-01
2007-08-01,0,0.350987885638411,0.11308910685067,0.949150567975601,2007-08-01
2007-09-01,0,0.353923572643101,0.112652747855905,0.943375920242418,2007-09-01
2007-10-01,0,0.371443801356469,0.115283863810502,0.992982348922092,2007-10-01
2007-11-01,0,0.419839040137606,0.12080756972807,1.11615941285191,2007-11-01
2007-12-01,0,0.515105615431096,0.130943866444192,1.27792108740652,2007-12-01
2008-01-01,2,0.741916593756048,0.263010711949798,1.64553568842246,2008-01-01
2008-02-01,0,0.504435914689189,0.12672508046394,1.33444802882786,2008-02-01
2008-03-01,0,0.408999905499274,0.118281364683515,1.13139111114093,2008-03-01
2008-04-01,0,0.372190893976732,0.11436092048891,1.09681040970617,2008-04-01
2008-05-01,0,0.357256233135344,0.116185793825305,0.991906376485005,2008-05-01
2008-06-01,0,0.34806965503145,0.112142389794785,0.960912012372944,2008-06-01
2008-07-01,0,0.343720497007083,0.112140757571169,0.939806036597281,2008-07-01
2008-08-01,0,0.348734859903671,0.110668103778533,0.935452745553493,2008-08-01
2008-09-01,0,0.358820343680118,0.110287030965073,0.973730479327356,2008-09-01
2008-10-01,0,0.378155497992494,0.11615112843877,1.06992353456845,2008-10-01
2008-11-01,0,0.407953139125329,0.120423644127647,1.10524260417541,2008-11-01
2008-12-01,1,0.503699264584782,0.131272303561765,1.28994377843177,2008-12-01
2009-01-01,0,0.439643830823063,0.119523142679072,1.1629783144702,2009-01-01
2009-02-01,0,0.436990604248277,0.12338994870293,1.19401580474568,2009-02-01
2009-03-01,0,0.508619359060438,0.132601105722463,1.35180048729424,2009-03-01
2009-04-01,0,0.697754177953343,0.161077447843815,1.66468924282571,2009-04-01
2009-05-01,2,1.15590351479594,0.398931338978854,2.44943522914887,2009-05-01
2009-06-01,3,1.3813160030448,0.56591966596827,2.80728107611049,2009-06-01
2009-07-01,0,0.7706680669488,0.162088663681541,1.85838157311323,2009-07-01
2009-08-01,0,0.588038382205382,0.138200874082269,1.55499406719426,2009-08-01
2009-09-01,0,0.571602285839075,0.139004213701816,1.46619719250538,2009-09-01
2009-10-01,0,0.690986679711676,0.157817123956895,1.65424200084725,2009-10-01
2009-11-01,2,1.02015307800171,0.33649899365753,2.28197060750727,2009-11-01
